_id,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
6a1dc27d98be8b62b696b3cd,27.0,female,High School,55821.0,4,MORTGAGE,1000.0,VENTURE,16.29,0.02,5.0,668,Yes,0
6a1dc27d98be8b62b69665de,25.0,male,High School,70905.0,2,MORTGAGE,3150.0,EDUCATION,6.17,0.04,4.0,636,Yes,0
6a1dc27d98be8b62b696af63,33.0,female,Master,163000.0,10,MORTGAGE,22250.0,MEDICAL,11.01,0.14,9.0,688,Yes,0
6a1dc27d98be8b62b69658a9,24.0,female,Bachelor,53853.0,2,MORTGAGE,10000.0,PERSONAL,9.99,0.19,3.0,713,No,0
6a1dc27d98be8b62b6965967,25.0,female,High School,54737.0,2,MORTGAGE,2000.0,VENTURE,15.62,0.04,3.0,651,Yes,0
6a1dc27d98be8b62b696be06,40.0,male,Master,91446.0,16,MORTGAGE,14000.0,VENTURE,7.51,0.15,14.0,699,Yes,0
6a1dc27d98be8b62b6967205,24.0,female,Associate,90850.0,4,MORTGAGE,1200.0,PERSONAL,11.49,0.01,2.0,589,Yes,0
6a1dc27d98be8b62b6969116,32.0,female,Bachelor,81813.0,11,RENT,3000.0,DEBTCONSOLIDATION,7.14,0.04,9.0,593,Yes,0
6a1dc27d98be8b62b6966bbc,25.0,male,Associate,78848.0,0,MORTGAGE,15000.0,PERSONAL,11.12,0.19,4.0,587,No,0
6a1dc27d98be8b62b696c748,36.0,male,Master,58631.0,15,RENT,1500.0,MEDICAL,9.59,0.03,12.0,709,No,0
6a1dc27d98be8b62b696733a,22.0,female,Associate,94261.0,0,MORTGAGE,1750.0,EDUCATION,10.65,0.02,4.0,544,Yes,0
6a1dc27d98be8b62b6964ad0,25.0,female,Bachelor,41906.0,1,RENT,1500.0,MEDICAL,16.82,0.04,4.0,559,No,1
6a1dc27d98be8b62b696cf6a,23.0,male,Bachelor,106169.0,1,MORTGAGE,25000.0,HOMEIMPROVEMENT,11.77,0.24,4.0,567,No,0
6a1dc27d98be8b62b696bf2b,38.0,male,Associate,109086.0,15,MORTGAGE,9600.0,HOMEIMPROVEMENT,13.92,0.09,17.0,657,Yes,0
6a1dc27d98be8b62b6965653,24.0,male,Associate,49180.0,5,RENT,4850.0,EDUCATION,6.62,0.1,2.0,672,Yes,0
6a1dc27d98be8b62b696c80d,28.0,male,Associate,39975.0,4,MORTGAGE,3000.0,VENTURE,11.09,0.08,5.0,606,No,0
6a1dc27d98be8b62b69694fa,28.0,male,Associate,50741.0,8,OWN,13000.0,VENTURE,11.58,0.26,9.0,656,No,0
6a1dc27d98be8b62b6969ad5,27.0,male,High School,63225.0,2,MORTGAGE,1800.0,VENTURE,12.98,0.03,8.0,650,No,0
6a1dc27d98be8b62b696977c,33.0,female,Doctorate,137660.0,9,RENT,5000.0,MEDICAL,11.83,0.04,9.0,706,No,0
6a1dc27d98be8b62b696e629,35.0,female,High School,85134.0,7,MORTGAGE,8000.0,EDUCATION,10.35,0.09,11.0,599,Yes,0
6a1dc27d98be8b62b696af5e,31.0,male,Associate,162762.0,10,MORTGAGE,18000.0,VENTURE,10.74,0.11,9.0,617,Yes,0
6a1dc27d98be8b62b696493e,23.0,male,Bachelor,57630.0,1,RENT,16500.0,VENTURE,10.62,0.29,3.0,615,No,1
6a1dc27d98be8b62b69657e0,22.0,male,Bachelor,42369.0,0,RENT,5000.0,MEDICAL,16.89,0.12,3.0,604,No,1
6a1dc27d98be8b62b696c217,42.0,male,Associate,64118.0,21,MORTGAGE,21000.0,PERSONAL,10.38,0.33,15.0,687,Yes,0
6a1dc27d98be8b62b6965949,25.0,female,High School,29753.0,0,RENT,8500.0,VENTURE,9.88,0.29,4.0,650,No,1
6a1dc27d98be8b62b6968806,22.0,male,Bachelor,51512.0,0,MORTGAGE,3000.0,PERSONAL,6.03,0.06,3.0,632,Yes,0
6a1dc27d98be8b62b696aad2,27.0,female,Bachelor,117758.0,1,MORTGAGE,5500.0,HOMEIMPROVEMENT,11.01,0.05,8.0,546,Yes,0
6a1dc27d98be8b62b6966c24,22.0,male,Bachelor,26980.0,0,RENT,9600.0,EDUCATION,7.49,0.36,2.0,589,No,1
6a1dc27d98be8b62b696afb5,33.0,female,Bachelor,26296.0,13,OWN,3600.0,PERSONAL,11.71,0.14,5.0,630,No,0
6a1dc27d98be8b62b696cb7a,24.0,female,High School,65750.0,3,MORTGAGE,5000.0,PERSONAL,8.16,0.08,3.0,658,No,0
6a1dc27d98be8b62b6969782,30.0,female,Associate,56277.0,5,MORTGAGE,12000.0,EDUCATION,11.01,0.21,9.0,646,Yes,0
6a1dc27d98be8b62b696aafe,28.0,female,High School,119301.0,6,MORTGAGE,20000.0,VENTURE,14.84,0.17,9.0,607,Yes,0
6a1dc27d98be8b62b6966812,23.0,male,Bachelor,73406.0,0,RENT,8000.0,MEDICAL,12.98,0.11,2.0,562,Yes,0
6a1dc27d98be8b62b696a4a4,32.0,male,High School,91261.0,11,MORTGAGE,5600.0,PERSONAL,15.96,0.06,9.0,553,Yes,0
6a1dc27d98be8b62b6967c78,26.0,male,Master,156890.0,4,RENT,14400.0,VENTURE,14.46,0.09,2.0,686,Yes,0
6a1dc27d98be8b62b696bb7a,36.0,male,Bachelor,55072.0,13,RENT,7000.0,MEDICAL,9.91,0.13,12.0,665,Yes,0
6a1dc27d98be8b62b696b3a9,28.0,female,High School,51488.0,7,OWN,12000.0,PERSONAL,11.86,0.23,6.0,655,No,0
6a1dc27d98be8b62b696d0c5,25.0,male,High School,72989.0,6,RENT,12740.0,DEBTCONSOLIDATION,10.76,0.17,7.0,646,Yes,0
6a1dc27d98be8b62b696939b,30.0,female,Bachelor,48595.0,9,MORTGAGE,3000.0,DEBTCONSOLIDATION,10.38,0.06,10.0,615,Yes,0
6a1dc27d98be8b62b69655c3,22.0,female,Bachelor,48951.0,0,MORTGAGE,8000.0,DEBTCONSOLIDATION,9.76,0.16,4.0,686,Yes,0
6a1dc27d98be8b62b696b400,29.0,male,Bachelor,40450.0,4,RENT,1700.0,EDUCATION,15.23,0.04,5.0,615,No,0
6a1dc27d98be8b62b6965537,24.0,female,Associate,67018.0,1,RENT,4500.0,DEBTCONSOLIDATION,7.9,0.07,2.0,649,Yes,0
6a1dc27d98be8b62b6966c03,26.0,male,Bachelor,57179.0,6,RENT,9500.0,PERSONAL,12.87,0.17,4.0,591,Yes,0
6a1dc27d98be8b62b6968ecc,31.0,male,High School,240814.0,8,RENT,15000.0,HOMEIMPROVEMENT,11.36,0.06,8.0,567,No,0
6a1dc27d98be8b62b696ba76,47.0,male,High School,58753.0,20,MORTGAGE,16750.0,MEDICAL,10.62,0.29,12.0,582,Yes,0
6a1dc27d98be8b62b696ea1f,23.0,male,Master,28719.0,0,RENT,7673.0,HOMEIMPROVEMENT,11.7,0.27,4.0,614,No,1
6a1dc27d98be8b62b696d705,25.0,male,Associate,32175.0,1,RENT,3879.0,EDUCATION,12.74,0.12,4.0,647,Yes,0
6a1dc27d98be8b62b69696dc,27.0,male,Bachelor,67153.0,2,RENT,5000.0,EDUCATION,13.48,0.07,5.0,665,No,0
6a1dc27d98be8b62b696e269,23.0,male,Associate,32278.0,1,RENT,3888.0,EDUCATION,8.19,0.12,3.0,659,Yes,0
6a1dc27d98be8b62b696abc2,32.0,female,Associate,122218.0,4,MORTGAGE,8000.0,DEBTCONSOLIDATION,11.49,0.07,5.0,590,No,0
6a1dc27d98be8b62b6968ea6,29.0,male,Associate,121050.0,7,RENT,15000.0,MEDICAL,9.88,0.12,9.0,695,No,0
6a1dc27d98be8b62b6966c1b,23.0,male,Master,79035.0,3,MORTGAGE,17600.0,VENTURE,12.72,0.22,3.0,685,No,0
6a1dc27d98be8b62b6964740,26.0,male,Bachelor,70484.0,4,RENT,20000.0,DEBTCONSOLIDATION,10.25,0.28,2.0,590,No,1
6a1dc27d98be8b62b6968e53,27.0,male,Bachelor,66374.0,3,RENT,1500.0,EDUCATION,13.23,0.02,8.0,640,Yes,0
6a1dc27d98be8b62b6969061,32.0,male,High School,40465.0,10,MORTGAGE,5000.0,MEDICAL,6.17,0.12,7.0,654,Yes,0
6a1dc27d98be8b62b696deac,26.0,male,Associate,120843.0,0,MORTGAGE,8000.0,MEDICAL,11.4,0.07,5.0,586,Yes,0
6a1dc27d98be8b62b696d4a6,23.0,female,Master,34290.0,0,RENT,7000.0,MEDICAL,7.02,0.2,2.0,588,Yes,0
6a1dc27d98be8b62b696e16e,29.0,male,High School,127050.0,7,MORTGAGE,15546.0,HOMEIMPROVEMENT,11.69,0.12,8.0,660,No,0
6a1dc27d98be8b62b69649ce,24.0,female,Bachelor,32115.0,3,MORTGAGE,7000.0,MEDICAL,7.74,0.22,2.0,686,Yes,0
6a1dc27d98be8b62b696aef3,27.0,female,Associate,140192.0,6,MORTGAGE,25000.0,HOMEIMPROVEMENT,13.36,0.18,7.0,647,No,1
6a1dc27d98be8b62b6967423,22.0,male,High School,30519.0,0,RENT,12000.0,PERSONAL,9.63,0.39,3.0,669,No,1
6a1dc27d98be8b62b6964cf3,24.0,male,Bachelor,58755.0,5,RENT,2400.0,PERSONAL,12.99,0.04,4.0,642,Yes,0
6a1dc27d98be8b62b6965500,23.0,female,High School,43079.0,2,RENT,4500.0,PERSONAL,10.59,0.1,2.0,657,No,0
6a1dc27d98be8b62b696892d,26.0,male,High School,30449.0,3,RENT,8875.0,EDUCATION,10.0,0.29,3.0,573,No,1
6a1dc27d98be8b62b6966053,24.0,male,Bachelor,63091.0,2,MORTGAGE,4000.0,MEDICAL,7.51,0.06,2.0,662,No,0
6a1dc27d98be8b62b6965044,23.0,female,High School,38298.0,1,RENT,3200.0,EDUCATION,11.49,0.08,4.0,690,No,0
6a1dc27d98be8b62b696bb78,36.0,male,Bachelor,53874.0,13,RENT,7000.0,EDUCATION,8.0,0.13,11.0,563,No,0
6a1dc27d98be8b62b696be05,37.0,male,High School,91564.0,14,MORTGAGE,28000.0,DEBTCONSOLIDATION,7.49,0.31,15.0,565,No,0
6a1dc27d98be8b62b696a237,27.0,male,Master,82832.0,4,MORTGAGE,10800.0,VENTURE,7.88,0.13,8.0,624,Yes,0
6a1dc27d98be8b62b696c612,26.0,male,Bachelor,44213.0,6,RENT,9000.0,PERSONAL,8.27,0.2,5.0,591,Yes,0
6a1dc27d98be8b62b696c5a4,23.0,female,Master,39446.0,0,MORTGAGE,9542.0,EDUCATION,13.03,0.24,4.0,702,Yes,0
6a1dc27d98be8b62b696c469,22.0,female,Associate,49065.0,0,RENT,6500.0,VENTURE,6.26,0.13,4.0,629,No,0
6a1dc27d98be8b62b69685be,23.0,female,High School,54040.0,0,MORTGAGE,5500.0,VENTURE,6.17,0.1,4.0,651,Yes,0
6a1dc27d98be8b62b6964558,25.0,male,Bachelor,85284.0,3,RENT,25000.0,EDUCATION,15.21,0.29,3.0,653,No,1
6a1dc27d98be8b62b6969ad4,35.0,male,Associate,63439.0,13,OWN,10400.0,VENTURE,9.99,0.16,7.0,707,Yes,0
6a1dc27d98be8b62b696a179,28.0,male,Bachelor,78873.0,7,MORTGAGE,9000.0,MEDICAL,5.99,0.11,5.0,694,No,0
6a1dc27d98be8b62b696b8cf,43.0,male,High School,109118.0,21,RENT,10400.0,DEBTCONSOLIDATION,11.49,0.1,14.0,573,Yes,0
6a1dc27d98be8b62b6965a7d,23.0,male,Associate,48327.0,3,MORTGAGE,3250.0,PERSONAL,11.01,0.07,4.0,613,No,1
6a1dc27d98be8b62b696bc62,36.0,female,High School,31040.0,12,RENT,5000.0,VENTURE,6.62,0.16,15.0,638,No,0
6a1dc27d98be8b62b696e7f2,23.0,male,High School,49196.0,3,RENT,10000.0,EDUCATION,7.45,0.2,4.0,631,No,0
6a1dc27d98be8b62b696a339,28.0,female,High School,84975.0,3,MORTGAGE,15000.0,VENTURE,16.0,0.18,7.0,658,Yes,0
6a1dc27d98be8b62b69664b1,23.0,female,Master,68327.0,0,MORTGAGE,10000.0,EDUCATION,13.61,0.15,4.0,670,Yes,0
6a1dc27d98be8b62b6967a7e,22.0,female,Bachelor,65250.0,0,RENT,13750.0,EDUCATION,14.96,0.21,2.0,611,Yes,0
6a1dc27d98be8b62b696eac6,23.0,female,Associate,48912.0,0,RENT,15000.0,MEDICAL,8.85,0.31,4.0,646,No,1
6a1dc27d98be8b62b69669ac,22.0,male,High School,114684.0,2,RENT,8000.0,EDUCATION,12.61,0.07,4.0,666,No,0
6a1dc27d98be8b62b696b532,27.0,male,Bachelor,94941.0,3,OWN,35000.0,MEDICAL,17.99,0.37,7.0,584,No,1
6a1dc27d98be8b62b696b175,29.0,female,Associate,577111.0,9,MORTGAGE,6500.0,MEDICAL,5.42,0.01,6.0,581,Yes,0
6a1dc27d98be8b62b696ceb2,44.0,male,Master,72752.0,20,RENT,15000.0,HOMEIMPROVEMENT,11.01,0.21,14.0,745,No,0
6a1dc27d98be8b62b6967970,23.0,female,Bachelor,79207.0,0,RENT,12500.0,EDUCATION,11.48,0.16,4.0,652,Yes,0
6a1dc27d98be8b62b696e2ab,28.0,female,Master,55189.0,7,RENT,6000.0,EDUCATION,7.5,0.11,4.0,624,Yes,0
6a1dc27d98be8b62b696a533,29.0,male,Bachelor,90587.0,7,MORTGAGE,10000.0,DEBTCONSOLIDATION,11.48,0.11,10.0,607,Yes,0
6a1dc27d98be8b62b696b039,27.0,female,Associate,181067.0,5,MORTGAGE,6000.0,VENTURE,13.49,0.03,6.0,639,Yes,0
6a1dc27d98be8b62b69646f4,25.0,female,Master,25654.0,6,MORTGAGE,4000.0,VENTURE,5.79,0.16,2.0,725,No,0
6a1dc27d98be8b62b696665f,23.0,male,Associate,73352.0,1,MORTGAGE,10000.0,DEBTCONSOLIDATION,11.71,0.14,4.0,523,Yes,0
6a1dc27d98be8b62b6967de7,22.0,male,Master,37775.0,0,RENT,15000.0,PERSONAL,11.01,0.4,4.0,532,No,1
6a1dc27d98be8b62b696629d,23.0,female,High School,34235.0,0,RENT,7000.0,EDUCATION,10.62,0.2,2.0,620,Yes,0
6a1dc27d98be8b62b6969402,31.0,female,Associate,37086.0,6,RENT,4400.0,VENTURE,15.62,0.12,8.0,702,No,0
6a1dc27d98be8b62b696d47b,26.0,female,Bachelor,37020.0,7,MORTGAGE,6000.0,VENTURE,13.49,0.16,5.0,620,No,0
6a1dc27d98be8b62b696acfc,31.0,male,Master,43243.0,6,RENT,15000.0,MEDICAL,13.11,0.35,9.0,624,No,1
6a1dc27d98be8b62b696cf23,23.0,male,Master,91139.0,0,MORTGAGE,3000.0,HOMEIMPROVEMENT,7.51,0.03,3.0,637,No,0
6a1dc27d98be8b62b69653a0,25.0,male,Master,36007.0,2,RENT,4000.0,HOMEIMPROVEMENT,14.54,0.11,3.0,653,No,1
6a1dc27d98be8b62b6967e41,26.0,male,Master,138926.0,4,MORTGAGE,24000.0,EDUCATION,10.62,0.17,3.0,672,Yes,0
6a1dc27d98be8b62b696b35e,32.0,female,Bachelor,38391.0,6,RENT,7400.0,EDUCATION,16.77,0.19,6.0,607,No,1
6a1dc27d98be8b62b6967db6,25.0,female,High School,133048.0,3,MORTGAGE,25000.0,PERSONAL,11.49,0.19,4.0,652,Yes,0
6a1dc27d98be8b62b696f087,28.0,female,Associate,74580.0,4,RENT,7708.0,MEDICAL,11.14,0.1,8.0,662,No,1
6a1dc27d98be8b62b696c10f,37.0,male,Associate,218362.0,13,MORTGAGE,20000.0,DEBTCONSOLIDATION,13.85,0.09,17.0,695,No,0
6a1dc27d98be8b62b69668fe,26.0,male,Bachelor,67287.0,8,MORTGAGE,10000.0,DEBTCONSOLIDATION,7.51,0.15,3.0,639,No,1
6a1dc27d98be8b62b696cc7a,23.0,male,Master,94554.0,1,MORTGAGE,1235.0,EDUCATION,10.12,0.01,4.0,642,No,0
6a1dc27d98be8b62b696adeb,30.0,male,Bachelor,53862.0,7,RENT,15000.0,DEBTCONSOLIDATION,6.54,0.28,5.0,620,No,1
6a1dc27d98be8b62b6968003,25.0,male,Bachelor,67310.0,7,RENT,15000.0,EDUCATION,10.74,0.22,2.0,645,Yes,0
6a1dc27d98be8b62b696710a,22.0,male,Associate,72871.0,0,RENT,10000.0,PERSONAL,5.99,0.14,2.0,638,Yes,0
6a1dc27d98be8b62b696746c,25.0,male,Master,97083.0,2,MORTGAGE,13000.0,DEBTCONSOLIDATION,6.54,0.13,3.0,613,Yes,0
6a1dc27d98be8b62b69654d1,24.0,female,Associate,49171.0,0,MORTGAGE,3200.0,VENTURE,10.99,0.07,2.0,554,Yes,0
6a1dc27d98be8b62b6965d8f,22.0,female,High School,46684.0,2,RENT,6000.0,EDUCATION,13.57,0.13,4.0,577,Yes,0
6a1dc27d98be8b62b696d209,32.0,male,Master,114953.0,9,MORTGAGE,7481.0,VENTURE,9.54,0.07,12.0,681,Yes,0
6a1dc27d98be8b62b6968405,23.0,female,Master,78972.0,0,MORTGAGE,5500.0,EDUCATION,7.88,0.07,2.0,656,No,0
6a1dc27d98be8b62b6969100,28.0,female,Master,64572.0,6,RENT,3000.0,MEDICAL,11.01,0.05,9.0,640,No,1
6a1dc27d98be8b62b6966e1a,23.0,male,Master,77089.0,3,MORTGAGE,20000.0,DEBTCONSOLIDATION,10.99,0.26,3.0,544,No,1
6a1dc27d98be8b62b696d4ca,25.0,male,High School,59373.0,0,RENT,12000.0,VENTURE,8.64,0.2,5.0,604,No,0
6a1dc27d98be8b62b696d934,25.0,female,Master,101629.0,2,MORTGAGE,8889.0,DEBTCONSOLIDATION,11.46,0.09,3.0,656,Yes,0
6a1dc27d98be8b62b696f00d,24.0,male,Bachelor,36799.0,3,RENT,5300.0,EDUCATION,15.58,0.14,4.0,616,No,1
6a1dc27d98be8b62b696d04f,24.0,female,High School,73110.0,0,MORTGAGE,4000.0,EDUCATION,7.72,0.05,3.0,617,Yes,0
6a1dc27d98be8b62b696f1fa,26.0,male,Bachelor,89014.0,4,MORTGAGE,26713.0,EDUCATION,14.17,0.3,2.0,619,No,1
6a1dc27d98be8b62b696ba6b,44.0,male,Bachelor,143826.0,20,RENT,5900.0,DEBTCONSOLIDATION,6.17,0.04,14.0,650,Yes,0
6a1dc27d98be8b62b696f44c,34.0,male,Bachelor,41876.0,14,RENT,19594.0,DEBTCONSOLIDATION,12.03,0.47,8.0,707,No,1
6a1dc27d98be8b62b696d70d,22.0,female,Bachelor,43158.0,0,RENT,6400.0,MEDICAL,12.64,0.15,4.0,610,Yes,0
